"Name","Hometown","Year","Sport","School"
"Scott Fortier","Tallahassee, Florida",2013,"swimming-and-diving","Alabama"
"Clark Garner","Mize, Mississippi",2013,"swimming-and-diving","Alabama"
"Kristian Gkolomeev","Athens, Greece",2013,"swimming-and-diving","Alabama"
"Alex Gray","Birmingham, Alabama",2013,"swimming-and-diving","Alabama"
"Jack Hadjiconstantinou","Paralimni, Cyprus",2013,"swimming-and-diving","Alabama"
"Hunter Hinson","Cairo, Georgia",2013,"swimming-and-diving","Alabama"
"BJ Hornikel","Boblingen, Germany",2013,"swimming-and-diving","Alabama"
"Jacob Kelsoe","Memphis, Tennessee",2013,"swimming-and-diving","Alabama"
"Travis Kerner","Richmond, Virginia",2013,"swimming-and-diving","Alabama"
"Carl Madden","Mobile, Alabama",2013,"swimming-and-diving","Alabama"
"Dylan Marin","Pittsford, New York",2013,"swimming-and-diving","Alabama"
"Anton McKee","Hafnarfjörður, Iceland",2013,"swimming-and-diving","Alabama"
"Michael Messuri","Ft. Myers, Florida",2013,"swimming-and-diving","Alabama"
"Connor Oslin","Kennesaw, Georgia",2013,"swimming-and-diving","Alabama"
"Alex Pujol","Houston, Texas",2013,"swimming-and-diving","Alabama"
"J.J. Pursley","Phoenix, Arizona",2013,"swimming-and-diving","Alabama"
"Abbas Qali","Kuwait City, Kuwait",2013,"swimming-and-diving","Alabama"
"Robert Ramoska","Park Ridge, Illinois",2013,"swimming-and-diving","Alabama"
"Carlo Rezzonico","Castel San Peitro, Switzerland",2013,"swimming-and-diving","Alabama"
"Pavel Romanov","Moscow, Russia",2013,"swimming-and-diving","Alabama"
"Brent Sagert","St.Albert, California",2013,"swimming-and-diving","Alabama"
"John Servati","Tupelo, Mississippi",2013,"swimming-and-diving","Alabama"
"Kyle Simpson","Spanish Fort, Alabama",2013,"swimming-and-diving","Alabama"
"Hunter Smith","Sacramento, California",2013,"swimming-and-diving","Alabama"
"Brett Walsh","Durban, South                                                                Africa",2013,"swimming-and-diving","Alabama"
"Crews Wellford","Memphis, Tennessee",2013,"swimming-and-diving","Alabama"
"Brian Westlake","Penryn, California",2013,"swimming-and-diving","Alabama"
"George Wong","Madison, Alabama",2013,"swimming-and-diving","Alabama"
"Andrew Wrist","Charlotte, North Carolina",2013,"swimming-and-diving","Alabama"
"Jonathon Young","Gulf Shores, Alabama",2013,"swimming-and-diving","Alabama"
"Luke Zippi","Melbourne, Florida",2013,"swimming-and-diving","Alabama"
"Leah Bird","Newcastle, Australia",2014,"swimming-and-diving","Alabama"
"Bridget Blood","Cincinnati, Ohio",2014,"swimming-and-diving","Alabama"
"Lisa Bogosian","Knoxville, Tennessee",2014,"swimming-and-diving","Alabama"
"Kaylin Burchell","Richmond, Kentucky",2014,"swimming-and-diving","Alabama"
"Brooke Elias","Columbia, South Carolina",2014,"swimming-and-diving","Alabama"
"Emily Facchine","Raleigh, North Carolina",2014,"swimming-and-diving","Alabama"
"Kara Fredlock","Lexington, Kentucky",2014,"swimming-and-diving","Alabama"
"Brittany Gilbert","Munster, Indiana",2014,"swimming-and-diving","Alabama"
"Victoria Hove","Lynn Haven, Florida",2014,"swimming-and-diving","Alabama"
"Maddie Kamman","Birmingham, Alabama",2014,"swimming-and-diving","Alabama"
"Stephanie Klotz","Cameron Park, California",2014,"swimming-and-diving","Alabama"
"Caroline Korst","Frisco, Texas",2014,"swimming-and-diving","Alabama"
"Bonnie Macdonald","Gold Coast, Australia",2014,"swimming-and-diving","Alabama"
"Angely Martinez","Miami, Florida",2014,"swimming-and-diving","Alabama"
"Paige Matherson","Danville, California",2014,"swimming-and-diving","Alabama"
"Mia Nonnenberg","Scranton, Pennsylvania",2014,"swimming-and-diving","Alabama"
"Justine Panian","San Marcos, California",2014,"swimming-and-diving","Alabama"
"Morgan Presley","Peachtree City, Georgia",2014,"swimming-and-diving","Alabama"
"Emma Saunders","Bolton, England",2014,"swimming-and-diving","Alabama"
"Bailey Scott","Belden, Mississippi",2014,"swimming-and-diving","Alabama"
"Lauren Searcy","Woodstock, Georgia",2014,"swimming-and-diving","Alabama"
"Karolina Szczepaniak","Warsaw, Poland",2014,"swimming-and-diving","Alabama"
"Temarie Tomley","Cincinnati, Ohio",2014,"swimming-and-diving","Alabama"
"Dakota Toner","Palm City, Florida",2014,"swimming-and-diving","Alabama"
"Kristel Vourna","Patras, Greece",2014,"swimming-and-diving","Alabama"
"Taylor Zablocki","Detroit, Michigan",2014,"swimming-and-diving","Alabama"
"Emily Zapinski","Southlake, Texas",2014,"swimming-and-diving","Alabama"
"Matthew Adams","Charleston, South Carolina",2014,"swimming-and-diving","Alabama"
"Taylor Charles","Nashville, Tennessee",2014,"swimming-and-diving","Alabama"
"Szymmy Day","Omaha, Nebraska",2014,"swimming-and-diving","Alabama"
"Phillip Deaton","Madison, Alabama",2014,"swimming-and-diving","Alabama"
"Ian Decker","Leesburg, Virginia",2014,"swimming-and-diving","Alabama"
"Will Freeman","Hoover, Alabama",2014,"swimming-and-diving","Alabama"
"Clark Garner","Mize, Mississippi",2014,"swimming-and-diving","Alabama"
"Kristian Gkolomeev","Athens, Greece",2014,"swimming-and-diving","Alabama"
"Alex Gray","Birmingham, Alabama",2014,"swimming-and-diving","Alabama"
"Jack Hadjiconstantinou","Paralimni, Cyprus",2014,"swimming-and-diving","Alabama"
"Luke Kaliszak","Huntsville, Alabama",2014,"swimming-and-diving","Alabama"
"Jacob Kelsoe","Memphis, Tennessee",2014,"swimming-and-diving","Alabama"
"Travis Kerner","Richmond, Virginia",2014,"swimming-and-diving","Alabama"
"DJ Lang","Denton, Texas",2014,"swimming-and-diving","Alabama"
"Carl Madden","Mobile, Alabama",2014,"swimming-and-diving","Alabama"
"Dylan Marin","Pittsford, New York",2014,"swimming-and-diving","Alabama"
"Anton McKee","Hafnarfjörður, Iceland",2014,"swimming-and-diving","Alabama"
"Michael Messuri","Ft. Myers, Florida",2014,"swimming-and-diving","Alabama"
"David Morton","Hoover, Alabama",2014,"swimming-and-diving","Alabama"
"Connor Oslin","Kennesaw, Georgia",2014,"swimming-and-diving","Alabama"
"J.J. Pursley","Phoenix, Arizona",2014,"swimming-and-diving","Alabama"
"Abbas Qali","Kuwait City, Kuwait",2014,"swimming-and-diving","Alabama"
"Robert Ramoska","Park Ridge, Illinois",2014,"swimming-and-diving","Alabama"
"Christopher Reid","Port Elizabeth, South Africa",2014,"swimming-and-diving","Alabama"
"Carlo Rezzonico","Castel San Peitro, Switzerland",2014,"swimming-and-diving","Alabama"
"Pavel Romanov","Moscow, Russia",2014,"swimming-and-diving","Alabama"
"Brent Sagert","St.Albert, California",2014,"swimming-and-diving","Alabama"
"Alec Scott","Denver, Colorado",2014,"swimming-and-diving","Alabama"
"Kyle Simpson","Spanish Fort, Alabama",2014,"swimming-and-diving","Alabama"
"Hunter Smith","Sacramento, California",2014,"swimming-and-diving","Alabama"
"Justin Stegall","Austin, Texas",2014,"swimming-and-diving","Alabama"
"Brett Walsh","Durban, South                                                                Africa",2014,"swimming-and-diving","Alabama"
"Crews Wellford","Memphis, Tennessee",2014,"swimming-and-diving","Alabama"
"Brian Westlake","Penryn, California",2014,"swimming-and-diving","Alabama"
"Braxton Young","Atlanta, Georgia",2014,"swimming-and-diving","Alabama"
"Caroline Beene","Baton Rouge, Louisiana",2015,"swimming-and-diving","Alabama"
"Leah Bird","Newcastle, Australia",2015,"swimming-and-diving","Alabama"
"Bridget Blood","Cincinnati, Ohio",2015,"swimming-and-diving","Alabama"
"Katie Coughlin","Wisconsin Dells, Wisconsin",2015,"swimming-and-diving","Alabama"
"Morgan Fleming","Lawrenceville, Georgia",2015,"swimming-and-diving","Alabama"
"Kara Fredlock","Lexington, Kentucky",2015,"swimming-and-diving","Alabama"
"Brittany Gilbert","Munster, Indiana",2015,"swimming-and-diving","Alabama"
"Sarah Helm","Springfield, Illinois",2015,"swimming-and-diving","Alabama"
"Victoria Hove","Lynn Haven, Florida",2015,"swimming-and-diving","Alabama"
"Katie Kelsoe","Memphis, Tennessee",2015,"swimming-and-diving","Alabama"
"Stephanie Klotz","Cameron Park, California",2015,"swimming-and-diving","Alabama"
"Caroline Korst","Frisco, Texas",2015,"swimming-and-diving","Alabama"
"Christina Lu","Ann Arbor, Michigan",2015,"swimming-and-diving","Alabama"
"Justine Macfarlane","Johannesburg, South Africa",2015,"swimming-and-diving","Alabama"
"Paige Matherson","Danville, California",2015,"swimming-and-diving","Alabama"
"Margy McCarthy","Hinsdale, Illinois",2015,"swimming-and-diving","Alabama"
"Lindsay Morrow","Katy, Texas",2015,"swimming-and-diving","Alabama"
"Emma Murray","Roswell, Georgia",2015,"swimming-and-diving","Alabama"
"Hannah Musser","Overland Park, Kan.",2015,"swimming-and-diving","Alabama"
"Erika Nist","Maple Valley, Washington",2015,"swimming-and-diving","Alabama"
"Mia Nonnenberg","Scranton, Pennsylvania",2015,"swimming-and-diving","Alabama"
"Justine Panian","San Marcos, California",2015,"swimming-and-diving","Alabama"
"Morgan Presley","Peachtree City, Georgia",2015,"swimming-and-diving","Alabama"
"Nicole Raicik","Suwanee, Georgia",2015,"swimming-and-diving","Alabama"
"Emma Saunders","Bolton, England",2015,"swimming-and-diving","Alabama"
"Bailey Scott","Belden, Mississippi",2015,"swimming-and-diving","Alabama"
"Lauren Searcy","Woodstock, Georgia",2015,"swimming-and-diving","Alabama"
"Karolina Szczepaniak","Warsaw, Poland",2015,"swimming-and-diving","Alabama"
"Temarie Tomley","Cincinnati, Ohio",2015,"swimming-and-diving","Alabama"
"Dakota Toner","Palm City, Florida",2015,"swimming-and-diving","Alabama"
"Ayanna Woods","Evans, Georgia",2015,"swimming-and-diving","Alabama"
"Marian Yurchishin","San Antonio, Texas",2015,"swimming-and-diving","Alabama"
"Taylor Zablocki","Detroit, Michigan",2015,"swimming-and-diving","Alabama"
"Emily Zapinski","Southlake, Texas",2015,"swimming-and-diving","Alabama"
"Matthew Adams","Charleston, South Carolina",2015,"swimming-and-diving","Alabama"
"Christian Arseneau","Mississauga, Ontario",2015,"swimming-and-diving","Alabama"
"Knox Auerbach","Johns Creek, Georgia",2015,"swimming-and-diving","Alabama"
"Laurent Bams","Eijsden, Netherlands",2015,"swimming-and-diving","Alabama"
"Taylor Charles","Nashville, Tennessee",2015,"swimming-and-diving","Alabama"
"Szymmy Day","Omaha, Nebraska",2015,"swimming-and-diving","Alabama"
"Will Freeman","Hoover, Alabama",2015,"swimming-and-diving","Alabama"
"Kristian Gkolomeev","Athens, Greece",2015,"swimming-and-diving","Alabama"
"Alex Gray","Birmingham, Alabama",2015,"swimming-and-diving","Alabama"
"Jack Hadjiconstantinou","Paralimni, Cyprus",2015,"swimming-and-diving","Alabama"
"Evan Heldman","Davidson, North Carolina",2015,"swimming-and-diving","Alabama"
"Robert Howard","Alexander City, Alabama",2015,"swimming-and-diving","Alabama"
"Luke Kaliszak","Huntsville, Alabama",2015,"swimming-and-diving","Alabama"
"Jacob Kelsoe","Memphis, Tennessee",2015,"swimming-and-diving","Alabama"
"Travis Kerner","Richmond, Virginia",2015,"swimming-and-diving","Alabama"
"DJ Lang","Denton, Texas",2015,"swimming-and-diving","Alabama"
"Collin Larson","Minneapolis, Min.",2015,"swimming-and-diving","Alabama"
"Carl Madden","Mobile, Alabama",2015,"swimming-and-diving","Alabama"
"Dylan Marin","Pittsford, New York",2015,"swimming-and-diving","Alabama"
"Anton McKee","Hafnarfjörður, Iceland",2015,"swimming-and-diving","Alabama"
"Michael Messuri","Ft. Myers, Florida",2015,"swimming-and-diving","Alabama"
"David Morton","Hoover, Alabama",2015,"swimming-and-diving","Alabama"
"Connor Oslin","Kennesaw, Georgia",2015,"swimming-and-diving","Alabama"
"J.J. Pursley","Phoenix, Arizona",2015,"swimming-and-diving","Alabama"
"Abbas Qali","Kuwait City, Kuwait",2015,"swimming-and-diving","Alabama"
"Robert Ramoska","Park Ridge, Illinois",2015,"swimming-and-diving","Alabama"
"Christopher Reid","Port Elizabeth, South Africa",2015,"swimming-and-diving","Alabama"
"Carlo Rezzonico","Castel San Peitro, Switzerland",2015,"swimming-and-diving","Alabama"
"Pavel Romanov","Moscow, Russia",2015,"swimming-and-diving","Alabama"
"Brent Sagert","St.Albert, California",2015,"swimming-and-diving","Alabama"
"Alec Scott","Denver, Colorado",2015,"swimming-and-diving","Alabama"
"Kyle Simpson","Spanish Fort, Alabama",2015,"swimming-and-diving","Alabama"
"Brett Walsh","Durban, South                                                                Africa",2015,"swimming-and-diving","Alabama"
"Crews Wellford","Memphis, Tennessee",2015,"swimming-and-diving","Alabama"
"Brian Westlake","Penryn, California",2015,"swimming-and-diving","Alabama"
"Braxton Young","Atlanta, Georgia",2015,"swimming-and-diving","Alabama"
"Caroline Beene","Baton Rouge, Louisiana",2016,"swimming-and-diving","Alabama"
"Leah Bird","Newcastle, Australia",2016,"swimming-and-diving","Alabama"
"Bridget Blood","Cincinnati, Ohio",2016,"swimming-and-diving","Alabama"
"Cameron Brown","Louisville, Kentucky",2016,"swimming-and-diving","Alabama"
"Line Bruun","Aalborg, Denmark",2016,"swimming-and-diving","Alabama"
"Katie Coughlin","Wisconsin Dells, Wisconsin",2016,"swimming-and-diving","Alabama"
"Morgan Fleming","Lawrenceville, Georgia",2016,"swimming-and-diving","Alabama"
"Kara Fredlock","Lexington, Kentucky",2016,"swimming-and-diving","Alabama"
"Sarah Helm","Springfield, Illinois",2016,"swimming-and-diving","Alabama"
"Katie Kelsoe","Memphis, Tennessee",2016,"swimming-and-diving","Alabama"
"Caroline Korst","Frisco, Texas",2016,"swimming-and-diving","Alabama"
"Christina Lu","Ann Arbor, Michigan",2016,"swimming-and-diving","Alabama"
"Justine Macfarlane","Johannesburg, South Africa",2016,"swimming-and-diving","Alabama"
"Paige Matherson","Danville, California",2016,"swimming-and-diving","Alabama"
"Margy McCarthy","Hinsdale, Illinois",2016,"swimming-and-diving","Alabama"
"Lindsay Morrow","Katy, Texas",2016,"swimming-and-diving","Alabama"
"Emma Murray","Roswell, Georgia",2016,"swimming-and-diving","Alabama"
"Hannah Musser","Overland Park, Kan.",2016,"swimming-and-diving","Alabama"
"Erika Nist","Maple Valley, Washington",2016,"swimming-and-diving","Alabama"
"Mia Nonnenberg","Scranton, Pennsylvania",2016,"swimming-and-diving","Alabama"
"Kacey Oberlander","York, Pennsylvania",2016,"swimming-and-diving","Alabama"
"Alexis  Preski","Springfield, Illinois",2016,"swimming-and-diving","Alabama"
"Nicole Raicik","Suwanee, Georgia",2016,"swimming-and-diving","Alabama"
"Bailey Scott","Belden, Mississippi",2016,"swimming-and-diving","Alabama"
"Lexi Souther","Waxhaw, North Carolina",2016,"swimming-and-diving","Alabama"
"Allie Surrency","Jacksonville, Florida",2016,"swimming-and-diving","Alabama"
"Karolina Szczepaniak","Warsaw, Poland",2016,"swimming-and-diving","Alabama"
"Temarie Tomley","Cincinnati, Ohio",2016,"swimming-and-diving","Alabama"
"Dakota Toner","Palm City, Florida",2016,"swimming-and-diving","Alabama"
"Ayanna Woods","Evans, Georgia",2016,"swimming-and-diving","Alabama"
"Marian Yurchishin","San Antonio, Texas",2016,"swimming-and-diving","Alabama"
"Taylor Zablocki","Detroit, Michigan",2016,"swimming-and-diving","Alabama"
"Emily Zapinski","Southlake, Texas",2016,"swimming-and-diving","Alabama"
"Matthew Adams","Charleston, South Carolina",2016,"swimming-and-diving","Alabama"
"Christian Arseneau","Mississauga, Ontario",2016,"swimming-and-diving","Alabama"
"Knox Auerbach","Johns Creek, Georgia",2016,"swimming-and-diving","Alabama"
"Laurent Bams","Eijsden, Netherlands",2016,"swimming-and-diving","Alabama"
"Taylor Charles","Nashville, Tennessee",2016,"swimming-and-diving","Alabama"
"Szymmy Day","Omaha, Nebraska",2016,"swimming-and-diving","Alabama"
"Tristan Essary","Prattville, Alabama",2016,"swimming-and-diving","Alabama"
"Will Freeman","Hoover, Alabama",2016,"swimming-and-diving","Alabama"
"Alex Gray","Birmingham, Alabama",2016,"swimming-and-diving","Alabama"
"Jack Hadjiconstantinou","Paralimni, Cyprus",2016,"swimming-and-diving","Alabama"
"Wyatt  Harrison","Homewood, Alabama",2016,"swimming-and-diving","Alabama"
"Evan Heldman","Davidson, North Carolina",2016,"swimming-and-diving","Alabama"
"Robert Howard","Alexander City, Alabama",2016,"swimming-and-diving","Alabama"
"Luke Kaliszak","Huntsville, Alabama",2016,"swimming-and-diving","Alabama"
"Jacob Kelsoe","Memphis, Tennessee",2016,"swimming-and-diving","Alabama"
"Daniel Kober","Elmshorn, Germany",2016,"swimming-and-diving","Alabama"
"DJ Lang","Denton, Texas",2016,"swimming-and-diving","Alabama"
"Kyle Maas","Holland, Michigan",2016,"swimming-and-diving","Alabama"
"Carl Madden","Mobile, Alabama",2016,"swimming-and-diving","Alabama"
"Anton McKee","Hafnarfjörður, Iceland",2016,"swimming-and-diving","Alabama"
"Michael Messuri","Ft. Myers, Florida",2016,"swimming-and-diving","Alabama"
"David Morton","Hoover, Alabama",2016,"swimming-and-diving","Alabama"
"Connor Oslin","Kennesaw, Georgia",2016,"swimming-and-diving","Alabama"
"J.J. Pursley","Phoenix, Arizona",2016,"swimming-and-diving","Alabama"
"Robert Ramoska","Park Ridge, Illinois",2016,"swimming-and-diving","Alabama"
"Christopher Reid","Port Elizabeth, South Africa",2016,"swimming-and-diving","Alabama"
"Carlo Rezzonico","Castel San Peitro, Switzerland",2016,"swimming-and-diving","Alabama"
"Pavel Romanov","Moscow, Russia",2016,"swimming-and-diving","Alabama"
"Brent Sagert","St.Albert, California",2016,"swimming-and-diving","Alabama"
"Kyle Simpson","Spanish Fort, Alabama",2016,"swimming-and-diving","Alabama"
"Christopher Staka","Santa Cruz, California",2016,"swimming-and-diving","Alabama"
"Zane Waddell","Bloemfontein, South Africa",2016,"swimming-and-diving","Alabama"
"Braxton Young","Atlanta, Georgia",2016,"swimming-and-diving","Alabama"
"Caroline Beene","Baton Rouge, Louisiana",2017,"swimming-and-diving","Alabama"
"Cameron Brown","Louisville, Kentucky",2017,"swimming-and-diving","Alabama"
"Sydney Dawson","Niceville, Florida",2017,"swimming-and-diving","Alabama"
"Sezin Eligul","Istanbul, Turkey",2017,"swimming-and-diving","Alabama"
"Alina Faunce","Fort Myers, Florida",2017,"swimming-and-diving","Alabama"
"Sarah Helm","Springfield, Illinois",2017,"swimming-and-diving","Alabama"
"Lydia Jackson","Crestwood, Kentucky",2017,"swimming-and-diving","Alabama"
"Katie Kelsoe","Memphis, Tennessee",2017,"swimming-and-diving","Alabama"
"Julia Kukla","Korneuburg, Austria",2017,"swimming-and-diving","Alabama"
"Leonie Kullmann","Dresden, Germany",2017,"swimming-and-diving","Alabama"
"Christina Lu","Ann Arbor, Michigan",2017,"swimming-and-diving","Alabama"
"Justine Macfarlane","Johannesburg, South Africa",2017,"swimming-and-diving","Alabama"
"Paige Matherson","Danville, California",2017,"swimming-and-diving","Alabama"
"Flora Molnar","Nagykanizsa, Hungary",2017,"swimming-and-diving","Alabama"
"Lindsay Morrow","Katy, Texas",2017,"swimming-and-diving","Alabama"
"Emma Murray","Roswell, Georgia",2017,"swimming-and-diving","Alabama"
"Hannah Musser","Overland Park, Kan.",2017,"swimming-and-diving","Alabama"
"Mia Nonnenberg","Scranton, Pennsylvania",2017,"swimming-and-diving","Alabama"
"Kacey Oberlander","York, Pennsylvania",2017,"swimming-and-diving","Alabama"
"Alexis  Preski","Springfield, Illinois",2017,"swimming-and-diving","Alabama"
"Nicole Raicik","Suwanee, Georgia",2017,"swimming-and-diving","Alabama"
"Maria Reed","Mobile, Alabama",2017,"swimming-and-diving","Alabama"
"Bailey Scott","Belden, Mississippi",2017,"swimming-and-diving","Alabama"
"Nicole Smith","Hoover, Alabama",2017,"swimming-and-diving","Alabama"
"Lexi Souther","Waxhaw, North Carolina",2017,"swimming-and-diving","Alabama"
"Allie Surrency","Jacksonville, Florida",2017,"swimming-and-diving","Alabama"
"Temarie Tomley","Cincinnati, Ohio",2017,"swimming-and-diving","Alabama"
"Mallory Underwood","Athens, Alabama",2017,"swimming-and-diving","Alabama"
"Tori VanBuskirk","Oviedo, Florida",2017,"swimming-and-diving","Alabama"
"Kaila Wong","Valencia, California",2017,"swimming-and-diving","Alabama"
"Ayanna Woods","Evans, Georgia",2017,"swimming-and-diving","Alabama"
"Marian Yurchishin","San Antonio, Texas",2017,"swimming-and-diving","Alabama"
"Matthew Adams","Charleston, South Carolina",2017,"swimming-and-diving","Alabama"
"Christian Arseneau","Mississauga, Ontario",2017,"swimming-and-diving","Alabama"
"Cade Auerbach","Johns Creek, Georgia",2017,"swimming-and-diving","Alabama"
"Knox Auerbach","Johns Creek, Georgia",2017,"swimming-and-diving","Alabama"
"Laurent Bams","Eijsden, Netherlands",2017,"swimming-and-diving","Alabama"
"Jack Blake","Phoenix, Arizona",2017,"swimming-and-diving","Alabama"
"Michael Burris","Leesburg, Virginia",2017,"swimming-and-diving","Alabama"
"Taylor Charles","Nashville, Tennessee",2017,"swimming-and-diving","Alabama"
"Robby Costine","Frostproof, Florida",2017,"swimming-and-diving","Alabama"
"Sam DiSette","Leawood, Kan.",2017,"swimming-and-diving","Alabama"
"Tristan Essary","Prattville, Alabama",2017,"swimming-and-diving","Alabama"
"Will Freeman","Hoover, Alabama",2017,"swimming-and-diving","Alabama"
"Wyatt  Harrison","Homewood, Alabama",2017,"swimming-and-diving","Alabama"
"Evan Heldman","Davidson, North Carolina",2017,"swimming-and-diving","Alabama"
"Robert Howard","Alexander City, Alabama",2017,"swimming-and-diving","Alabama"
"Luke Kaliszak","Huntsville, Alabama",2017,"swimming-and-diving","Alabama"
"Max Kennedy-Till","Auckland, New Zealand",2017,"swimming-and-diving","Alabama"
"Daniel Kober","Elmshorn, Germany",2017,"swimming-and-diving","Alabama"
"DJ Lang","Denton, Texas",2017,"swimming-and-diving","Alabama"
"Josh Lenzmeier","Colorado Springs, Colorado",2017,"swimming-and-diving","Alabama"
"Kyle Maas","Holland, Michigan",2017,"swimming-and-diving","Alabama"
"Richard Miksi","Szeged, Hungary",2017,"swimming-and-diving","Alabama"
"David Morton","Hoover, Alabama",2017,"swimming-and-diving","Alabama"
"Christopher Reid","Port Elizabeth, South Africa",2017,"swimming-and-diving","Alabama"
"Alex Robinson","Memphis, Tennessee",2017,"swimming-and-diving","Alabama"
"Tyler Sesvold","West Chicago, Illinois",2017,"swimming-and-diving","Alabama"
"Andrew Shea","Madison, Alabama",2017,"swimming-and-diving","Alabama"
"Christopher Staka","Santa Cruz, California",2017,"swimming-and-diving","Alabama"
"Christian Strycker","Richmond, Virginia",2017,"swimming-and-diving","Alabama"
"Andrey Tretyakov","Huntsville, Alabama",2017,"swimming-and-diving","Alabama"
"Zane Waddell","Bloemfontein, South Africa",2017,"swimming-and-diving","Alabama"
"Braxton Young","Atlanta, Georgia",2017,"swimming-and-diving","Alabama"
"Marianne Allard","Suwanee, Georgia",2018,"swimming-and-diving","Alabama"
"Kalia Antoniou","Limassol, Cyprus",2018,"swimming-and-diving","Alabama"
"Caroline Beene","Baton Rouge, Louisiana",2018,"swimming-and-diving","Alabama"
"Makenna Berry","Westminster, South Carolina",2018,"swimming-and-diving","Alabama"
"Halia Bower","Framingham, Massachussets",2018,"swimming-and-diving","Alabama"
"Alli Boyd","St. Petersburg, Florida",2018,"swimming-and-diving","Alabama"
"Cameron Brown","Louisville, Kentucky",2018,"swimming-and-diving","Alabama"
"Julia Cullen","Radnor, Pennsylvania",2018,"swimming-and-diving","Alabama"
"Natalie Donkle","Madison, Wisconsin",2018,"swimming-and-diving","Alabama"
"Sezin Eligul","Istanbul, Turkey",2018,"swimming-and-diving","Alabama"
"Alina Faunce","Fort Myers, Florida",2018,"swimming-and-diving","Alabama"
"Emily Graham","Westmont, Illinois",2018,"swimming-and-diving","Alabama"
"Sarah Helm","Springfield, Illinois",2018,"swimming-and-diving","Alabama"
"Lydia Jackson","Crestwood, Kentucky",2018,"swimming-and-diving","Alabama"
"Katie Kelsoe","Memphis, Tennessee",2018,"swimming-and-diving","Alabama"
"Julia Kukla","Korneuburg, Austria",2018,"swimming-and-diving","Alabama"
"Leonie Kullmann","Dresden, Germany",2018,"swimming-and-diving","Alabama"
"Morgan Liberto","Elkridge, Maryland",2018,"swimming-and-diving","Alabama"
"Justine Macfarlane","Johannesburg, South Africa",2018,"swimming-and-diving","Alabama"
"Kensey McMahon","Jacksonville, Florida",2018,"swimming-and-diving","Alabama"
"Flora Molnar","Nagykanizsa, Hungary",2018,"swimming-and-diving","Alabama"
"Emma Murray","Roswell, Georgia",2018,"swimming-and-diving","Alabama"
"Kacey Oberlander","York, Pennsylvania",2018,"swimming-and-diving","Alabama"
"Alexis  Preski","Springfield, Illinois",2018,"swimming-and-diving","Alabama"
"Nicole Raicik","Suwanee, Georgia",2018,"swimming-and-diving","Alabama"
"Maria Reed","Mobile, Alabama",2018,"swimming-and-diving","Alabama"
"Cathryn Salladin","Yorba Linda, California",2018,"swimming-and-diving","Alabama"
"Nicole Smith","Hoover, Alabama",2018,"swimming-and-diving","Alabama"
"Lexi Souther","Waxhaw, North Carolina",2018,"swimming-and-diving","Alabama"
"Allie Surrency","Jacksonville, Florida",2018,"swimming-and-diving","Alabama"
"Greta Szilvasi","Mezokovesd, Hungary",2018,"swimming-and-diving","Alabama"
"Mallory Underwood","Athens, Alabama",2018,"swimming-and-diving","Alabama"
"Tori VanBuskirk","Oviedo, Florida",2018,"swimming-and-diving","Alabama"
"Ashley Voelkerding","Cincinnati, Ohio",2018,"swimming-and-diving","Alabama"
"Rhyan White","Herriman, Utah",2018,"swimming-and-diving","Alabama"
"Kaila Wong","Valencia, California",2018,"swimming-and-diving","Alabama"
"Ayanna Woods","Evans, Georgia",2018,"swimming-and-diving","Alabama"
"Cat Wright","Colorado Springs, Co.",2018,"swimming-and-diving","Alabama"
"Marian Yurchishin","San Antonio, Texas",2018,"swimming-and-diving","Alabama"
"Christian Arseneau","Mississauga, Ontario",2018,"swimming-and-diving","Alabama"
"Cade Auerbach","Johns Creek, Georgia",2018,"swimming-and-diving","Alabama"
"Knox Auerbach","Johns Creek, Georgia",2018,"swimming-and-diving","Alabama"
"Laurent Bams","Eijsden, Netherlands",2018,"swimming-and-diving","Alabama"
"Jonathan Berneburg","Wasenberg, Germany",2018,"swimming-and-diving","Alabama"
"Jack Blake","Phoenix, Arizona",2018,"swimming-and-diving","Alabama"
"Cole Brown","Louisville, Kentucky",2018,"swimming-and-diving","Alabama"
"Michael Burris","Leesburg, Virginia",2018,"swimming-and-diving","Alabama"
"Robby Costine","Frostproof, Florida",2018,"swimming-and-diving","Alabama"
"Noland Deas","Johns Creek, Georgia",2018,"swimming-and-diving","Alabama"
"Sam DiSette","Leawood, Kan.",2018,"swimming-and-diving","Alabama"
"Alec Dixon","Kingwood, Texas",2018,"swimming-and-diving","Alabama"
"Tristan Essary","Prattville, Alabama",2018,"swimming-and-diving","Alabama"
"Wyatt  Harrison","Homewood, Alabama",2018,"swimming-and-diving","Alabama"
"Evan Heldman","Davidson, North Carolina",2018,"swimming-and-diving","Alabama"
"Nico Hernandez-Tome","Sarasota, Florida",2018,"swimming-and-diving","Alabama"
"Robert Howard","Alexander City, Alabama",2018,"swimming-and-diving","Alabama"
"Hunter Jaynes","Mansfield, Texas",2018,"swimming-and-diving","Alabama"
"Max Kennedy-Till","Auckland, New Zealand",2018,"swimming-and-diving","Alabama"
"Daniel Kober","Elmshorn, Germany",2018,"swimming-and-diving","Alabama"
"Billy Leader","Hinsdale, Illinois",2018,"swimming-and-diving","Alabama"
"Josh Lenzmeier","Colorado Springs, Colorado",2018,"swimming-and-diving","Alabama"
"Kevin Li","Fujian, China",2018,"swimming-and-diving","Alabama"
